577	690	955	113	619	386	641	187	526	549
254	536	681	372	638	179	776	161	375	546
343	537	816	72	48	525	129	508	157	869
247	775	970	768	975	6	945	850	738	622
72	278	260	937	706	613	874	485	650	542
321	485	185	522	410	619	313	19	91	273
182	771	988	208	587	84	940	209	6	678
850	679	372	668	914	423	760	439	811	793
631	315	728	571	889	339	108	0	760	631
115	946	953	452	379	20	312	280	656	289
975	683	954	388	72	236	167	350	548	187
61	732	881	131	415	113	426	353	481	453
847	333	385	384	410	146	923	543	492	454
956	129	389	370	310	79	461	280	101	582
27	827	509	193	969	598	323	38	174	647
674	252	146	815	865	67	589	570	288	221
264	566	378	519	228	687	27	315	322	12
309	177	471	536	11	86	950	18	394	296
532	393	83	521	574	861	142	912	420	601
704	605	618	882	758	471	339	594	255	761
642	889	750	195	857	135	896	50	262	925
551	259	178	491	828	62	794	729	423	50
867	68	251	270	130	919	94	887	215	986
158	112	51	907	358	46	570	642	456	105
850	998	795	950	899	861	774	973	971	342
385	384	349	799	418	790	587	925	65	125
444	262	712	780	749	329	644	836	153	579
181	292	711	77	219	71	491	889	247	752
200	75	658	51	213	604	329	522	115	853
919	44	257	145	328	278	246	934	231	938
432	208	435	718	310	792	633	883	803	954
711	915	172	244	429	185	243	251	378	726
730	456	203	95	30	666	428	617	643	248
31	378	755	814	825	14	277	722	452	282
442	922	273	738	776	580	648	86	938	444
814	750	307	544	511	366	17	265	157	971
560	838	480	197	713	493	739	854	749	14
50	489	973	980	444	529	853	582	446	665
44	128	24	819	807	449	580	266	680	578
279	493	464	848	16	447	124	887	359	16
646	513	6	128	179	337	595	787	969	990
294	687	654	312	990	868	502	745	905	917
124	289	186	408	670	632	208	680	389	890
40	902	402	449	552	699	656	957	549	173
552	39	809	655	562	293	918	491	100	43
778	534	480	42	390	448	384	683	111	447
702	271	629	498	128	1	165	550	758	895
141	94	335	674	590	974	254	712	308	869
978	32	153	46	969	886	630	937	381	526
748	490	430	695	468	748	870	649	954	711
